Site Name,Report Date,Time Period Ending,Time Interval,0 - 520 cm,521  - 660 cm,661 - 1160 cm,1160+ cm,0 - 10 mph,11 - 15 mph,16 - 20 mph,21 - 25 mph,26 - 30 mph,31 - 35 mph,36 - 40 mph,41 - 45 mph,46 - 50 mph,51 - 55 mph,56 - 60 mph,61 - 70 mph,71 - 80 mph,80+ mph,Avg mph,Total Volume
6176/1,01/04/2019 00:00:00,00:14:00,0,50,4,4,4,,,,,,,,,,,,,,,60,62
6176/1,01/04/2019 00:00:00,00:29:00,1,23,3,2,5,,,,,,,,,,,,,,,61,33
6176/1,01/04/2019 00:00:00,00:44:00,2,28,1,2,2,,,,,,,,,,,,,,,61,33
6176/1,01/04/2019 00:00:00,00:59:00,3,23,1,2,5,,,,,,,,,,,,,,,60,31
6176/1,01/04/2019 00:00:00,01:14:00,4,22,0,6,3,,,,,,,,,,,,,,,62,31
6176/1,01/04/2019 00:00:00,01:29:00,5,18,1,0,1,,,,,,,,,,,,,,,60,20
6176/1,01/04/2019 00:00:00,01:44:00,6,24,3,2,1,,,,,,,,,,,,,,,68,30
6176/1,01/04/2019 00:00:00,01:59:00,7,8,1,3,3,,,,,,,,,,,,,,,61,15
6176/1,01/04/2019 00:00:00,02:14:00,8,9,2,2,3,,,,,,,,,,,,,,,59,16
6176/1,01/04/2019 00:00:00,02:29:00,9,11,0,3,0,,,,,,,,,,,,,,,61,14
6176/1,01/04/2019 00:00:00,02:44:00,10,12,1,4,4,,,,,,,,,,,,,,,60,21
6176/1,01/04/2019 00:00:00,02:59:00,11,20,3,4,6,,,,,,,,,,,,,,,60,33
6176/1,01/04/2019 00:00:00,03:14:00,12,15,2,0,3,,,,,,,,,,,,,,,59,20
6176/1,01/04/2019 00:00:00,03:29:00,13,17,2,5,6,,,,,,,,,,,,,,,59,30
6176/1,01/04/2019 00:00:00,03:44:00,14,24,3,1,1,,,,,,,,,,,,,,,65,29
6176/1,01/04/2019 00:00:00,03:59:00,15,30,4,4,1,,,,,,,,,,,,,,,60,39
6176/1,01/04/2019 00:00:00,04:14:00,16,34,3,2,1,,,,,,,,,,,,,,,62,40
6176/1,01/04/2019 00:00:00,04:29:00,17,34,6,4,1,,,,,,,,,,,,,,,62,45
6176/1,01/04/2019 00:00:00,04:44:00,18,45,5,3,4,,,,,,,,,,,,,,,64,57
6176/1,01/04/2019 00:00:00,04:59:00,19,47,4,5,4,,,,,,,,,,,,,,,64,60
6176/1,01/04/2019 00:00:00,05:14:00,20,84,5,3,4,,,,,,,,,,,,,,,65,96
6176/1,01/04/2019 00:00:00,05:29:00,21,98,7,7,3,,,,,,,,,,,,,,,64,115
6176/1,01/04/2019 00:00:00,05:44:00,22,108,18,3,5,,,,,,,,,,,,,,,64,134
6176/1,01/04/2019 00:00:00,05:59:00,23,149,18,6,4,,,,,,,,,,,,,,,65,177
6176/1,01/04/2019 00:00:00,06:14:00,24,192,24,8,2,,,,,,,,,,,,,,,66,226
6176/1,01/04/2019 00:00:00,06:29:00,25,208,39,7,4,,,,,,,,,,,,,,,64,258
6176/1,01/04/2019 00:00:00,06:44:00,26,282,33,16,4,,,,,,,,,,,,,,,65,335
6176/1,01/04/2019 00:00:00,06:59:00,27,295,31,12,4,,,,,,,,,,,,,,,65,342
6176/1,01/04/2019 00:00:00,07:14:00,28,359,37,11,8,,,,,,,,,,,,,,,64,415
6176/1,01/04/2019 00:00:00,07:29:00,29,399,43,8,2,,,,,,,,,,,,,,,66,452
6176/1,01/04/2019 00:00:00,07:44:00,30,354,28,4,7,,,,,,,,,,,,,,,64,393
6176/1,01/04/2019 00:00:00,07:59:00,31,333,31,15,7,,,,,,,,,,,,,,,65,386
6176/1,01/04/2019 00:00:00,08:14:00,32,318,38,18,5,,,,,,,,,,,,,,,65,379
6176/1,01/04/2019 00:00:00,08:29:00,33,336,32,11,2,,,,,,,,,,,,,,,65,381
6176/1,01/04/2019 00:00:00,08:44:00,34,311,24,10,9,,,,,,,,,,,,,,,65,354
6176/1,01/04/2019 00:00:00,08:59:00,35,255,32,10,16,,,,,,,,,,,,,,,64,313
6176/1,01/04/2019 00:00:00,09:14:00,36,242,27,16,4,,,,,,,,,,,,,,,62,289
6176/1,01/04/2019 00:00:00,09:29:00,37,251,33,17,8,,,,,,,,,,,,,,,63,309
6176/1,01/04/2019 00:00:00,09:44:00,38,247,33,13,9,,,,,,,,,,,,,,,63,302
6176/1,01/04/2019 00:00:00,09:59:00,39,261,26,22,7,,,,,,,,,,,,,,,62,316
6176/1,01/04/2019 00:00:00,10:14:00,40,277,35,27,12,,,,,,,,,,,,,,,61,351
6176/1,01/04/2019 00:00:00,10:29:00,41,225,24,20,4,,,,,,,,,,,,,,,63,273
6176/1,01/04/2019 00:00:00,10:44:00,42,222,25,18,11,,,,,,,,,,,,,,,62,276
6176/1,01/04/2019 00:00:00,10:59:00,43,248,47,23,9,,,,,,,,,,,,,,,62,327
6176/1,01/04/2019 00:00:00,11:14:00,44,228,24,21,16,,,,,,,,,,,,,,,62,289
6176/1,01/04/2019 00:00:00,11:29:00,45,258,31,25,3,,,,,,,,,,,,,,,62,317
