datetime (Veh/5 Minutes),LSTM,GRU
2019-05-20 00:00,51,54
2019-05-20 00:05,43,43
2019-05-20 00:10,41,36
2019-05-20 00:15,37,30
2019-05-20 00:20,34,26
2019-05-20 00:25,40,32
2019-05-20 00:30,35,33
2019-05-20 00:35,28,27
2019-05-20 00:40,27,23
2019-05-20 00:45,26,21
2019-05-20 00:50,30,25
2019-05-20 00:55,26,24
2019-05-20 01:00,22,20
2019-05-20 01:05,20,16
2019-05-20 01:10,20,14
2019-05-20 01:15,17,12
2019-05-20 01:20,24,16
2019-05-20 01:25,24,21
2019-05-20 01:30,21,22
2019-05-20 01:35,20,20
2019-05-20 01:40,16,16
2019-05-20 01:45,15,13
2019-05-20 01:50,22,14
2019-05-20 01:55,21,16
2019-05-20 02:00,21,17
2019-05-20 02:05,21,17
2019-05-20 02:10,24,20
2019-05-20 02:15,24,22
2019-05-20 02:20,24,23
2019-05-20 02:25,22,21
2019-05-20 02:30,22,19
2019-05-20 02:35,23,18
2019-05-20 02:40,24,17
2019-05-20 02:45,22,16
2019-05-20 02:50,27,19
2019-05-20 02:55,31,26
2019-05-20 03:00,28,25
2019-05-20 03:05,25,22
2019-05-20 03:10,27,20
2019-05-20 03:15,31,23
2019-05-20 03:20,30,23
2019-05-20 03:25,30,23
2019-05-20 03:30,30,23
2019-05-20 03:35,33,26
2019-05-20 03:40,34,28
2019-05-20 03:45,30,25
2019-05-20 03:50,34,26
2019-05-20 03:55,33,26
2019-05-20 04:00,38,31
2019-05-20 04:05,37,33
2019-05-20 04:10,42,39
2019-05-20 04:15,38,38
2019-05-20 04:20,34,31
2019-05-20 04:25,41,32
2019-05-20 04:30,40,33
2019-05-20 04:35,40,34
2019-05-20 04:40,38,31
2019-05-20 04:45,40,32
2019-05-20 04:50,40,33
2019-05-20 04:55,40,34
2019-05-20 05:00,38,32
2019-05-20 05:05,38,29
2019-05-20 05:10,41,31
2019-05-20 05:15,52,43
2019-05-20 05:20,48,48
2019-05-20 05:25,46,48
2019-05-20 05:30,53,53
2019-05-20 05:35,47,48
2019-05-20 05:40,45,42
2019-05-20 05:45,45,38
2019-05-20 05:50,46,36
2019-05-20 05:55,49,39
2019-05-20 06:00,49,42
2019-05-20 06:05,49,45
2019-05-20 06:10,47,43
2019-05-20 06:15,49,43
2019-05-20 06:20,44,36
2019-05-20 06:25,57,45
2019-05-20 06:30,61,57
2019-05-20 06:35,62,66
2019-05-20 06:40,59,66
2019-05-20 06:45,63,66
2019-05-20 06:50,58,59
2019-05-20 06:55,54,50
2019-05-20 07:00,61,49
2019-05-20 07:05,60,49
2019-05-20 07:10,68,57
2019-05-20 07:15,67,62
2019-05-20 07:20,72,68
2019-05-20 07:25,75,73
2019-05-20 07:30,73,72
2019-05-20 07:35,79,74
2019-05-20 07:40,83,77
2019-05-20 07:45,97,88
2019-05-20 07:50,100,97
2019-05-20 07:55,109,106
2019-05-20 08:00,110,110
2019-05-20 08:05,118,116
2019-05-20 08:10,129,125
2019-05-20 08:15,140,139
2019-05-20 08:20,152,154
2019-05-20 08:25,159,167
2019-05-20 08:30,164,175
2019-05-20 08:35,179,186
2019-05-20 08:40,194,200
2019-05-20 08:45,187,201
2019-05-20 08:50,197,203
2019-05-20 08:55,205,206
2019-05-20 09:00,216,214
2019-05-20 09:05,229,225
2019-05-20 09:10,237,235
